artists;track_name;year;track_genre;popularity;duration_ms
Jason Mraz;Winter Wonderland;2000;acoustic;0;131760
Chord Overstreet;All I Want For Christmas Is A Real Good Tan;2020;acoustic;0;234186
"Brandi Carlile;Sam Smith";Party of One;2006;acoustic;0;259558
"Brandi Carlile;Sam Smith";Party of One;2021;acoustic;0;259558
"Brandi Carlile;Sam Smith";Party of One;2022;acoustic;0;259558
KT Tunstall;Lonely This Christmas;2010;acoustic;0;257493
Brandi Carlile;Throwing Good After Bad;2004;acoustic;0;247791
Brandi Carlile;This Time Tomorrow;2013;acoustic;0;206267
KT Tunstall;Lonely This Christmas;2025;acoustic;0;257493
Eddie Vedder;The Haves;2010;acoustic;0;306794
Brandi Carlile;When You're Wrong;2021;acoustic;0;266960
"Brandi Carlile;Lucius";You and Me on the Rock;2008;acoustic;0;230098
"Brandi Carlile;Lucius";You and Me on the Rock;2016;acoustic;0;230098
Brandi Carlile;"Speak Your Mind (From the Netflix Series ""We The People"")";2014;acoustic;0;193943
"Brandi Carlile;Lucius";You and Me on the Rock;2014;acoustic;0;230098
"Brandi Carlile;Lucius";You and Me on the Rock;2021;acoustic;0;230098
"Brandi Carlile;Lucius";You and Me on the Rock;2025;acoustic;0;230098
"Brandi Carlile;Lucius";You and Me on the Rock;2002;acoustic;0;230098
"Brandi Carlile;Lucius";You and Me on the Rock;2010;acoustic;0;230098
Highland Peak;Trampoline - Acoustic;2017;acoustic;46;213098
Motohiro Hata;йЂЏжЋгЃ гЃЈгЃџдё–з•Њ;2025;acoustic;61;232360
Andrew Belle;Pieces;2022;acoustic;60;241119
Ron Pope;A Drop in the Ocean;2004;acoustic;68;220239
Adam Christopher;So Far Away - Acoustic;2018;acoustic;52;171543
Andrew Belle;The Enemy;2000;acoustic;62;286865
Aron Wright;Build It Better;2012;acoustic;51;234473
Chord Overstreet;Sleepwalking in the Rain;2007;acoustic;0;216000
Sara Bareilles;Gravity;2015;acoustic;67;232760
Chord Overstreet;What's Left of You;2020;acoustic;57;178600
Zack Tabudlo;Pano;1999;acoustic;75;254400
Andrew Belle;Sky's Still Blue;2017;acoustic;62;244320
Kurt Cobain;And I Love Her;2001;acoustic;66;124933
"Boyce Avenue;Bea Miller";We Can't Stop;2001;acoustic;64;222146
Tim Halperin;Always Be My Baby;2010;acoustic;62;181852
Canyon City;Alone with You;2013;acoustic;58;186584
Aaron Espe;Making All Things New;2005;acoustic;65;159600
Sara Bareilles;She Used To Be Mine;2025;acoustic;67;250266
Andrew Belle;In My Veins - Feat. Erin Mccarley;2013;acoustic;65;318908
Tyler Ward;I Don't Wanna Live Forever (Fifty Shades Darker);2019;acoustic;44;222351
Ron Pope;A Drop In the Ocean;2006;acoustic;55;219480
Five For Fighting;Superman (It's Not Easy);1998;acoustic;70;221693
Andrew Belle;When the End Comes;2006;acoustic;57;354400
Bailey Jehl;You're Still The One;2002;acoustic;56;177500
Ingrid Michaelson;Light Me Up;2003;acoustic;56;247840
Jason Mraz;93 Million Miles;2003;acoustic;67;216386
A Great Big World;Kaleidoscope;2010;acoustic;62;229320
"Eddie Vedder;Nusrat Fateh Ali Khan";The Long Road;1998;acoustic;45;330933
Drew Holcomb & The Neighbors;What Would I Do Without You;2008;acoustic;64;172213
Jason Mraz;Have It All;2006;acoustic;65;226106
Gabrielle Aplin;Heavy Heart;2024;acoustic;0;235173
Gabrielle Aplin;The House We Never Built;2008;acoustic;0;195213
Eddie Vedder;Society;2003;acoustic;68;236306
Gabrielle Aplin;Please Don't Say You Love Me;2025;acoustic;0;181400
Gabrielle Aplin;Please Don't Say You Love Me;2007;acoustic;0;181400
Eddie Vedder;Guaranteed;2021;acoustic;61;164500
Sara Bareilles;Brave;2018;acoustic;70;220573
KT Tunstall;Lonely This Christmas;2009;acoustic;0;257493
KT Tunstall;Lonely This Christmas;2007;acoustic;0;257493
Five For Fighting;Heaven Knows;2001;acoustic;62;210612
The Civil Wars;I Heard The Bells On Christmas Day;2016;acoustic;0;154440
The Civil Wars;I Heard The Bells On Christmas Day;2000;acoustic;0;154440
KT Tunstall;Fairytale Of New York;2019;acoustic;0;263866
The Civil Wars;I Heard The Bells On Christmas Day;2024;acoustic;0;154440
The Civil Wars;I Heard The Bells On Christmas Day;2000;acoustic;0;154440
The Civil Wars;I Heard The Bells On Christmas Day;2015;acoustic;0;154440
The Civil Wars;I Heard The Bells On Christmas Day;1998;acoustic;0;154440
The Civil Wars;I Heard The Bells On Christmas Day;2000;acoustic;0;154440
KT Tunstall;Hold On;1999;acoustic;0;177613
KT Tunstall;Suddenly I See;2002;acoustic;0;199040
Motohiro Hata;Rain;2022;acoustic;58;293040
Callum J Wright;Somebody Else - Acoustic;2009;acoustic;50;138495
Andrew Belle;Pieces (Hushed);2024;acoustic;59;198626
"Boyce Avenue;Fifth Harmony";Mirrors;2014;acoustic;57;292566
Boyce Avenue;Stand by Me;2006;acoustic;60;199019
"Gabrielle Aplin;JP Cooper";Losing Me;2002;acoustic;61;181760
Mone Kamishiraishi;гЃЄг‚“гЃ§г‚‚гЃЄгЃ„г‚„ - movie ver.;2016;acoustic;49;349920
John Adams;YouвЂ™re Beautiful - Acoustic;2022;acoustic;55;204973
Kitri;Hikare Inochi;2000;acoustic;51;322146
Tyler Ward;How To Lose a Girl;2003;acoustic;46;210375
Boyce Avenue;CanвЂ™t Help Falling in Love;2003;acoustic;57;131000
Andrew Belle;Dive Deep (Hushed);2008;acoustic;58;218531
Ben Woodward;When the Party's over (Acoustic Piano);2018;acoustic;51;195945
Augustana;Boston;2020;acoustic;63;245933
Matthew Perryman Jones;Living in the Shadows;2024;acoustic;53;212386
Boyce Avenue;In Case You DidnвЂ™t Know;2008;acoustic;60;225165
"Andrew Foy;Renee Foy";death bed (coffee for your head);2022;acoustic;47;112008
Kina Grannis;You Are My Sunshine;2011;acoustic;60;123609
Jason Mraz;I Won't Give Up;2009;acoustic;66;240165
"Ray LaMontagne;Sierra Ferrell";I Was Born To Love You;1998;acoustic;67;265843
Meg Birch;Only Love Can Hurt Like This;2003;acoustic;43;194194
Catherine Feeny;Mr Blue;2005;acoustic;54;154600
Joshua Hyslop;Do Not Let Me Go;1999;acoustic;60;158960
Ross Copperman;Holding On And Letting Go;2006;acoustic;49;319000
JJ Heller;You Already Know;2002;acoustic;57;214360
Ben Woodward;Believer (Remix);2026;acoustic;42;204480
Howie Day;Collide - Acoustic Version;2006;acoustic;67;277000
Ben Rector;Love Like This;2021;acoustic;61;214240
Matt Nathanson;Come On Get Higher;2003;acoustic;71;215173
Rachael Yamagata;"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]";2010;acoustic;49;296862
Parachute;Kiss Me Slowly;2005;acoustic;61;235813
Parachute;Without You;2006;acoustic;61;228933
Jason Mraz;Absolutely Zero;2013;acoustic;20;339196
Jason Mraz;Sleep All Day;2020;acoustic;22;296843
Jason Mraz;You and I Both;2010;acoustic;35;218240
Eddie Vedder;Long Nights;2011;acoustic;60;151773
Gabrielle Aplin;Please Don't Say You Love Me;2008;acoustic;59;181400
KT Tunstall;Suddenly I See;2022;acoustic;73;201706
Jason Mraz;Who Needs Shelter;2019;acoustic;22;192260
Jason Mraz;No Stopping Us;2009;acoustic;19;198855
Jason Mraz;I'll Do Anything;2022;acoustic;24;191889
JJ Heller;Make You Feel My Love;2018;acoustic;57;171293
Jason Mraz;The Remedy (I Won't Worry);2023;acoustic;35;256440
Jason Mraz;Too Much Food;2012;acoustic;20;221425
Jason Mraz;The Boy's Gone;2003;acoustic;18;255047
Jason Mraz;On Love, in Sadness;2000;acoustic;19;208793
Jason Mraz;Curbside Prophet;2019;acoustic;23;214552
Jason Mraz;Tonight, Not Again - Live;2020;acoustic;19;264280
Jason Mraz;Tonight, Not Again;2018;acoustic;18;289041
Eddie Vedder;Hard Sun;2019;acoustic;65;322080
"Susie Suh;Robot Koch";Here with Me;2020;acoustic;55;238971
"Tyler Ward;Lindsey Stirling;Kina Grannis";The Scientist;2022;acoustic;47;276575
Howie Day;Collide;2017;acoustic;56;249120
"Eden Elf;Ren Avel";get better;2001;acoustic;53;111734
Kitri;Sympathy;2017;acoustic;49;210760
"Boyce Avenue;Rachel Grae";Let It Go;2005;acoustic;51;255688
Chord Overstreet;What You Need;2021;acoustic;53;181786
Five For Fighting;100 Years;2008;acoustic;66;244600
Andrew Belle;You're the Sea;2004;acoustic;56;174546
Rachael Yamagata;No Direction;2007;acoustic;47;234330
Cary Brothers;Belong;2000;acoustic;51;255600
The Mayries;As It Was;2025;acoustic;55;176542
Jason Mraz;I'm Yours;2001;acoustic;60;243494
Joseph Sullinger;Chi Mai;2024;acoustic;40;188695
"A Great Big World;Christina Aguilera";Say Something;2017;acoustic;58;229400
Parachute;Had It All;2015;acoustic;55;216853
"Zack Tabudlo;Yonnyboii";Take Me Back ft. Yonnyboii;2015;acoustic;50;149000
Tobey Rosen;Whole Again - Acoustic Version;2023;acoustic;52;157231
The Mayries;Overpass Graffiti;2021;acoustic;54;226603
Sara Bareilles;Love Song;2004;acoustic;73;258826
"Andrew Foy;Renee Foy";Let Her Go;2023;acoustic;38;194013
Aqualung;Brighter Than Sunshine;2017;acoustic;53;242439
"Tyler Ward;Karis;Ray Lorraine";Love Story;2004;acoustic;55;232500
"AgustГ­n AmigГі;Nylonwings";Mujer con Abanico;2008;acoustic;41;156787
Amy Stroup;In the Shadows;2019;acoustic;46;263823
"Boyce Avenue;Connie Talbot";Can You Feel the Love Tonight;1999;acoustic;63;250916
Brandi Carlile;The Story;1999;acoustic;66;238493
JJ Heller;Better;2022;acoustic;54;215906
Kina Grannis;Iris;2003;acoustic;62;181136
The Mayries;Rockabye - Acoustic Version;2020;acoustic;57;157466
"Caleb Santos;Viva Music Publishing Inc.";I Need You More Today;2005;acoustic;68;233728
Boyce Avenue;Beautiful Soul;2010;acoustic;62;216612
Jason Mraz;Let's See What The Night Can Do;1997;acoustic;53;245186
Rachael Yamagata;La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series];2023;acoustic;44;219613
Parachute;Forever And Always;2004;acoustic;57;248960
Priscilla Ahn;Fine On The Outside;2015;acoustic;52;252466
Chord Overstreet;Tortured Soul;2015;acoustic;53;246613
JJ Heller;I Believe in You;2015;acoustic;53;198786
Jon Bryant;At Home;2006;acoustic;55;226640
Donovan Woods;Portland, Maine;2001;acoustic;66;203869
Ross Copperman;Holding On and Letting Go;2002;acoustic;49;317441
Joshua Hyslop;The Flood;2019;acoustic;60;261640
Angelina Cruz;Hanggang Kailan (Umuwi Ka Na Baby);2013;acoustic;38;211933
Stephen Speaks;Out of My League;2022;acoustic;67;218800
A Great Big World;Say Something;2001;acoustic;57;233266
Eddie Vedder;Rise;2002;acoustic;60;156453
"The Weepies;Deb Talan;Steve Tannen";World Spins Madly On;2024;acoustic;64;165133
Freddie King;Stumble;2001;acoustic;0;216626
Taj Mahal;Paradise;2006;acoustic;0;251426
"Keb' Mo';Gerald Albright";Moonlight, Mistletoe & You;2006;acoustic;0;209293
Motohiro Hata;гЃІгЃѕг‚Џг‚ЉгЃ®зґ„жќџ;1998;acoustic;61;308146
Thomas Daniel;Since U Been Gone - Acoustic Version;2005;acoustic;50;221170
Masayoshi Yamazaki;One more time,One more chance;2021;acoustic;47;330786
Kina Grannis;Creep;2006;acoustic;58;234135
"Todd Carey;Ariza;Chuck Leavell";Higher Love;2003;acoustic;30;173250
YUZU;Hyouriittai;1998;acoustic;52;336619
Canyon City;How Long Will I Love You;2013;acoustic;55;144830
Zack Tabudlo;Binibini;2014;acoustic;67;221538
Aron Wright;You Were Supposed to Be Different;2026;acoustic;45;192972
Boyce Avenue;Thinking out Loud;2021;acoustic;56;278640
Jonah Baker;Perfect / Style;2011;acoustic;37;212864
The Civil Wars;Poison & Wine;2017;acoustic;54;219466
Howie Day;Collide;2003;acoustic;66;249120
Ingrid Michaelson;You And I;2014;acoustic;63;148400
"Zack Tabudlo;Billkin";Give Me Your Forever (ft. Billkin);2011;acoustic;58;244800
Landon Pigg;Falling in Love at a Coffee Shop;2013;acoustic;55;270840
Anna Nalick;Breathe (2 AM);2017;acoustic;65;279826
Zack Tabudlo;Habang Buhay;2012;acoustic;69;244067
Jonah Baker;Beautiful Soul;2020;acoustic;44;214738
Ben Woodward;Bulletproof;2004;acoustic;39;207677
Andrew Belle;Spectrum;2005;acoustic;54;265506
Jonah Baker;Girls Like You - Acoustic Version;2026;acoustic;44;188494
Zack Tabudlo;Nangangamba;1998;acoustic;70;210354
Us The Duo;Better Together;2012;acoustic;64;200706
"Andrew Foy;Renee Foy";Heartbreak Anniversary;2025;acoustic;40;199256
"Tyler Ward;Karis;Ray Lorraine";One More Time Around;2006;acoustic;47;205666
A Great Big World;Say Something;2000;acoustic;40;229573
Zack Tabudlo;Heart CanвЂ™t Lose;2005;acoustic;55;240952
"Donovan Woods;Tenille Townes";I Ain't Ever Loved No One - Acoustic;2012;acoustic;57;199594
Ray LaMontagne;Empty;1998;acoustic;48;317280
Megan Davies;See You Again, Love Me Like You Do, Sugar - Acoustic Mashup;1998;acoustic;54;231965
Tim Halperin;The Reason;2002;acoustic;53;200800
Canyon City;Fix You;2007;acoustic;60;261665
JJ Heller;Hand to Hold;2004;acoustic;54;231605
Ray LaMontagne;Hold You in My Arms;2010;acoustic;62;306200
Us The Duo;One Last Dance;2007;acoustic;51;224847
"Boyce Avenue;Megan Nicole";Heaven;2015;acoustic;61;250063
Joshua Hyslop;The Spark - Bonus Track;2006;acoustic;51;201933
Drew Holcomb & The Neighbors;American Beauty;2011;acoustic;63;158013
Ray LaMontagne;Such A Simple Thing;1999;acoustic;65;296386
Amos Lee;Colors;2002;acoustic;64;160453
Boyce Avenue;Someone You Loved;2011;acoustic;57;182442
"Jason Mraz;Meghan Trainor";More Than Friends (feat. Meghan Trainor);2018;acoustic;54;181360
Days N Daze;Flurry Rush;2009;acoustic;37;169318
Sara Bareilles;I Choose You;2006;acoustic;63;218573
Mindy Gledhill;I Do Adore;2012;acoustic;53;149160
Dave Barnes;I'll Be Home For Christmas;1998;acoustic;0;183293
Get Dead;Fuck You;2026;acoustic;36;169266
Albert King;Christmas Comes But Once A Year;2022;acoustic;0;272640
Albert King;Christmas Comes But Once A Year;2005;acoustic;0;272640
John Adams;If I Ain't Got You - Acoustic;2011;acoustic;55;176509
John Adams;Believe - Acoustic;1997;acoustic;57;179886
Adam Christopher;Iris - Acoustic;2015;acoustic;54;184200
Motohiro Hata;Rain - Long Ver.;2017;acoustic;44;447306
Aoi Teshima;C'est si bon;2002;acoustic;51;108346
Jonah Baker;Baby (Acoustic Version);2010;acoustic;42;160768
YUZU;Reason;2015;acoustic;47;304320
"Boyce Avenue;Emma Heesters";I Like Me Better;2022;acoustic;54;201508
Zack Tabudlo;Asan Ka Na Ba;2024;acoustic;73;241132
Boyce Avenue;A Thousand Years;2023;acoustic;56;263710
Thomas Daniel;drivers license;1997;acoustic;56;246345
Jason Mraz;Love Someone;2019;acoustic;59;257173
Jae Hall;The Winner Takes It All - Acoustic;2009;acoustic;57;159012
Aaron Espe;Only Time;2021;acoustic;56;178546
A Fine Frenzy;Almost Lover;2008;acoustic;57;268800
Roses & Frey;Dance Monkey;2024;acoustic;51;197850
Parachute;Ocean;2020;acoustic;48;222400
Kina Grannis;Dream a Little Dream of Me;2019;acoustic;52;142379
The Mayries;Back For Good;2025;acoustic;54;194667
Canyon City;OK;2014;acoustic;55;212400
"Andrew Foy;Renee Foy";Just The Two Of Us;2000;acoustic;41;196304
Boyce Avenue;Hey There Delilah;2024;acoustic;49;230868
"Andrew Foy;Renee Foy";Arcade;2026;acoustic;37;186738
Kina Grannis;Yellow;2003;acoustic;52;193536
Roses & Frey;Wake Me Up;2008;acoustic;58;196819
Aidan Hawken;Walking Blind;2004;acoustic;48;201440
Jon Bryant;Headphones;2008;acoustic;56;204998
The Rescues;Teenage Dream;2001;acoustic;46;219093
Ivan & Alyosha;The Worth Of The Wait;2020;acoustic;55;171800
Kina Grannis;Can't Help Falling In Love - Piano Version;2013;acoustic;54;211624
Austin Plaine;Never Come Back Again;2017;acoustic;57;196240
Chord Overstreet;Love You To Death;1998;acoustic;49;199459
Plamina;Someone You Loved - Acoustic;2016;acoustic;55;169253
"Kina Grannis;Imaginary Future";What a Wonderful World;2003;acoustic;51;137066
"Andrew Foy;Renee Foy";You Broke Me First;2013;acoustic;39;128798
Joshua Hyslop;Long Way Down;2018;acoustic;60;257972
Parachute;She Is Love;2012;acoustic;60;146066
Phillip LaRue;Marigold;2015;acoustic;53;172708
krissy & ericka;12:51;2010;acoustic;64;246280
Takehara Pistol;г‚µгѓіг‚µгѓјгѓ©;2013;acoustic;34;331984
"Allman Brown;Liz Lawrence";Sons and Daughters;2001;acoustic;50;216052
Ben Rector;Brand New;2004;acoustic;65;243933
"The Weepies;Deb Talan;Steve Tannen";Gotta Have You;2007;acoustic;56;199786
Ben Rector;30,000 Feet;1998;acoustic;57;256933
Eddy Tyler;A Thousand Years;2001;acoustic;43;279916
Ray LaMontagne;Jolene;2011;acoustic;64;250866
Eddie Vedder;No Ceiling;2025;acoustic;58;94053
Joy Williams;Front Porch;2026;acoustic;64;231813
Days N Daze;Goodbye Lulu;2012;acoustic;35;150047
Ray LaMontagne;Three More Days;1997;acoustic;36;216773
Callum J Wright;Isn't She Lovely - Acoustic;2026;acoustic;54;145771
Rachael Yamagata;We Could Still Be Happy;2005;acoustic;43;279260
John Adams;Fix You - Acoustic;2006;acoustic;49;162963
Lusaint;I'm Yours - Acoustic;2000;acoustic;55;166189
"Boyce Avenue;Sarah Hyland";Closer;2010;acoustic;54;244188
"Mother's Daughter;Beck Pete";A Sky Full of Stars;1999;acoustic;55;165067
Aron Wright;I Don't Believe in Satan;2016;acoustic;39;208571
The Perishers;Pills;2021;acoustic;51;189240
"Tyler Ward;Madysyn";Shallow - Acoustic;2008;acoustic;52;182553
Jonah Baker;Watermelon Sugar - Acoustic;2017;acoustic;56;183093
"Matt Johnson;Jaclyn Davies";Say You Won't Let Go - Acoustic;2021;acoustic;48;243724
Kitri;Hikare Inochi;2012;acoustic;41;322146
Ben Woodward;Call You Mine (Acoustic Piano);2001;acoustic;40;209554
Kina Grannis;For Now;2021;acoustic;57;198403
Greg Laswell;Sweet Dream;2019;acoustic;53;67746
Andrew Foy;Love Nwantiti;2002;acoustic;30;129032
Ross Copperman;Stars Are on Your Side;2021;acoustic;49;218004
"Jonah Baker;Sara Phillips";We Don't Talk Anymore / Cold (feat. Sara Phillips);2006;acoustic;26;222911
Joe Brooks;Superman;2025;acoustic;53;206693
Boyce Avenue;Chasing Cars;2019;acoustic;52;246979
Zack Tabudlo;Calm Me Down;2026;acoustic;51;282950
Masaharu Fukuyama;KISSгЃ—гЃ¦;2017;acoustic;35;222626
"Zack Tabudlo;James TW";Binibini (Last Day On Earth) (feat. James TW);2004;acoustic;54;219692
Ciaran Lavery;Left for America;2008;acoustic;50;170786
John Frusciante;Ramparts;1999;acoustic;53;70133
Chord Overstreet;Hold On - Acoustic;1997;acoustic;48;200346
The Civil Wars;Dust to Dust;2005;acoustic;49;229653
Masaharu Fukuyama;Good night;2014;acoustic;35;354213
Zack Tabudlo;As You Are;2017;acoustic;60;183969
Zack Tabudlo;Binibini;2021;acoustic;65;221538
Sara Farell;It Aint Me;2007;acoustic;52;192545
A Great Big World;Say Something;2016;acoustic;57;233266
"Ingrid Michaelson;AJR";The Lotto;2012;acoustic;59;193695
Rodrigo y Gabriela;Tamacun;2000;acoustic;50;205800
Andrew Belle;Make It Without You;2026;acoustic;49;272612
Priscilla Ahn;Dream;2003;acoustic;54;211240
JJ Heller;Big Love, Small Moments;2023;acoustic;52;204293
Priscilla Ahn;I Am Not Alone;2011;acoustic;46;252386
Joshua Hyslop;Stand Your Ground;2001;acoustic;62;203253
Front Porch Step;Perfect Man;2023;acoustic;32;291332
Takehara Pistol;гЃ‚гЂ‚гЃЈгЃЁгЃ„гЃ†й–“гЃЇгЃ‚г‚‹гЃ•;2000;acoustic;33;172373
Eric Hutchinson;Tell The World;2008;acoustic;58;161328
Brett Dennen;Ain't No Reason;2013;acoustic;57;220306
Rail Yard Ghosts;A Month from Now;2002;acoustic;34;192392
Five For Fighting;What If;2000;acoustic;55;207228
The Bridge City Sinners;Pussy Cat;2006;acoustic;33;122874
Frank Turner;Polaroid Picture;2005;acoustic;33;223015
Matt Costa;I Bet On Flying High;2006;acoustic;0;155000
Matt Costa;I Bet On Flying High;2000;acoustic;0;155000
Matt Costa;I Bet On Flying High;2021;acoustic;0;155000
Jonah Baker;Mirrors - Acoustic;2005;acoustic;52;224170
"Aqualung;Kina Grannis";To the Wonder (feat. Kina Grannis);2023;acoustic;21;239004
Jonah Baker;Stay - Acoustic;2011;acoustic;50;181311
Ichiko Aoba;е¤Єй™ЅгЃ•г‚“;2005;acoustic;55;144653
Kina Grannis;Oh What A Love;2012;acoustic;46;235135
Meiko;Leave The Lights On;2023;acoustic;56;248360
Erin McCarley;I Won't Let You Down;2001;acoustic;40;198344
Jason Mraz;Look For The Good (Single Version);2015;acoustic;21;239697
Isabella Celander;Stargazing;2017;acoustic;55;186334
Roses & Frey;Bad Liar;2021;acoustic;50;226877
Rachael Yamagata;Is It You;2015;acoustic;41;273260
Us The Duo;Slow Down Time;2006;acoustic;44;196920
Amber Leigh Irish;2002 - Acoustic;2006;acoustic;57;145056
Jess Penner;Sweeter;2008;acoustic;33;196026
Daniel Robinson;Heat Waves - Acoustic;1998;acoustic;56;193027
"Yosui Inoue;Tamio Okuda";г‚ўг‚ёг‚ўгЃ®зґ”зњџ;2017;acoustic;32;233280
"Jonah Baker;Celine";If the World Was Ending - Acoustic;2023;acoustic;35;213091
Greg Laswell;Comes And Goes (In Waves);2012;acoustic;55;253546
Masaharu Fukuyama;гЃЄгЃЊг‚Њжџ;2019;acoustic;33;317400
Blame Jones;Dusk Till Dawn - Acoustic;2016;acoustic;46;167616
Ben Woodward;Don't Wanna Leave You;2008;acoustic;38;211672
Stephen Speaks;Passenger Seat;2020;acoustic;65;274245
Matt White;Love;2017;acoustic;60;170040
Boyce Avenue;Hallelujah;2022;acoustic;54;267765
Madi Diaz;Ashes;2008;acoustic;37;250146
Masaharu Fukuyama;жЋж—ҐгЃ®в†SHOW;2016;acoustic;34;290480
Boyce Avenue;Love Me Like You Do;2025;acoustic;55;198218
Canyon City;Lost Sparks;2003;acoustic;51;225400
Tristan Prettyman;Who We Are;2011;acoustic;48;259877
Masaharu Fukuyama;Heart (Original Version);2023;acoustic;34;288426
JJ Heller;It'll Be Alright;2004;acoustic;51;219363
Ingrid Michaelson;Everybody;2000;acoustic;54;208426
Mark Oblea;Kabilugan Ng Buwan;1997;acoustic;32;283480
Ingrid Michaelson;Keep Breathing;2016;acoustic;54;205586
"Boyce Avenue;Kina Grannis";Fast Car;2005;acoustic;61;304293
Boyce Avenue;Just the Way You Are;2020;acoustic;55;239573
Andrew Belle;The Ladder;2015;acoustic;55;227128
Masaharu Fukuyama;HELLO (Original Version);2009;acoustic;34;243066
Hanare Gumi;жЋҐеђ»;1999;acoustic;33;369200
"Brett Dennen;Benedict Cumberbatch";Can't Keep It Inside;2019;acoustic;45;77093
Hanare Gumi;жЋж—Ґе¤©ж°—гЃ«гЃЄг‚Њ;2002;acoustic;33;244840
Masaharu Fukuyama;IT'S ONLY LOVE;2005;acoustic;34;275266
Masaharu Fukuyama;гЃќг‚ЊгЃЊгЃ™гЃ№гЃ¦гЃ•;2012;acoustic;34;330720
A Great Big World;I Don't Wanna Love Somebody Else;2024;acoustic;49;163960
RENT STRIKE;Burn It All!;2023;acoustic;33;193874
Brandi Carlile;Carried Me With You;2014;acoustic;62;213732
Mischief Brew;O, Pennsyltucky!;2015;acoustic;33;227053
Frank Turner;I Believed You, William Blake;2008;acoustic;31;215440
Get Dead;Pepperspray;2026;acoustic;32;136543
Get Dead;Stickup;2014;acoustic;32;223707
Grace George;Heaven - Acoustic;2011;acoustic;54;188181
Jack Savoretti;Soldier's Eyes;2023;acoustic;50;171760
Ichiko Aoba;Asleep Among Endives;2026;acoustic;58;306243
Thomas Daniel;Symphony - Acoustic;2013;acoustic;49;192389
"Boyce Avenue;Fifth Harmony";When I Was Your Man;2026;acoustic;52;218472
Amber Leigh Irish;Save Your Tears - Acoustic;2025;acoustic;49;177818
Gen Hoshino;Koi;2011;acoustic;53;251266
Richard Walters;July Bones;2015;acoustic;54;239400
"Kaiak;Viktoria Tolstoy";Autumn Breeze;2007;acoustic;50;241413
Boyce Avenue;Save Your Tears;2022;acoustic;57;216800
Bailey Rushlow;You're Still The One - Acoustic;2014;acoustic;53;161306
Kina Grannis;Somebody Loved;2004;acoustic;57;153105
Boyce Avenue;Rise;2009;acoustic;49;202167
John Adams;Bohemian Rhapsody - Acoustic;2024;acoustic;52;173426
Amber Leigh Irish;As It Was - Acoustic;2001;acoustic;51;144644
Canyon City;Wish List;2002;acoustic;46;212760
Chord Overstreet;Beautiful Disaster;1997;acoustic;41;241758
Wayne Mack;Fake a smile;2009;acoustic;57;169600
Aimyon;Marigold;1997;acoustic;50;306626
Sungha Jung;River Flows In You;1998;acoustic;42;214466
Tamio Okuda;Kill Me Pretty;2006;acoustic;47;160466
Us The Duo;No Matter Where You Are;1999;acoustic;55;178826
Ben Rector;I Like You;2019;acoustic;56;138506
Parachute;The Mess I Made;2001;acoustic;49;230613
Zee Avi;Dream a Little Dream of Me;1998;acoustic;50;111842
Joshua Radin;Here, Right Now;2008;acoustic;56;183213
Boyce Avenue;Wonderful Tonight;2004;acoustic;52;220507
Gabrielle Aplin;Salvation;2018;acoustic;50;248506
Jon Bryant;Wilderness;2013;acoustic;53;269986
Masaharu Fukuyama;жЃ‹дєє (Original Version);2003;acoustic;33;272773
